                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.89186,                 1.2877,                0.82675,                 1.3087,                0.95094,                 0.9057,                0.97207,                0.75041,                 0.9499,                0.88596,                0.94499,                0.76576,                0.84749,                 1.1507,                 0.6981,                  1.456,              0.0017822,              0.0017822,              0.0017822
                     25,                0.84678,                 1.2091,                0.77826,                 1.2635,                0.93272,                0.98131,                 0.9902,                0.79092,                0.96046,                0.90803,                0.95544,                0.80814,                0.75243,                 1.0221,                0.58093,                 1.3921,              0.0017723,              0.0017723,              0.0017723
                     26,                0.86557,                 1.2288,                0.78839,                 1.2829,                0.90761,                0.95327,                0.97346,                0.77051,                0.88962,                0.93458,                0.95299,                0.79038,                0.80678,                 1.1051,                0.62343,                 1.4511,              0.0017624,              0.0017624,              0.0017624
                     27,                0.85085,                 1.1268,                0.81189,                  1.284,                0.92417,                0.91126,                0.97771,                0.76418,                0.91472,                0.90219,                0.96456,                 0.8076,                0.75942,                 1.0505,                0.68406,                 1.3831,              0.0017525,              0.0017525,              0.0017525
                     28,                0.82376,                 1.1604,                0.78165,                 1.2692,                0.95212,                0.94393,                0.97819,                0.79539,                0.94269,                0.93458,                0.94865,                0.81658,                0.73671,                 1.0392,                0.60369,                  1.324,              0.0017426,              0.0017426,              0.0017426
                     29,                0.86991,                 1.2054,                 0.7962,                 1.2838,                0.97959,                0.89694,                0.97585,                0.78087,                0.95917,                0.87824,                0.95163,                0.75306,                0.77704,                 1.2008,                0.61166,                 1.3491,              0.0017327,              0.0017327,              0.0017327
                     30,                0.81869,                  1.112,                0.74505,                 1.2477,                0.89379,                0.95327,                0.95365,                0.75448,                0.90208,                0.94705,                 0.9406,                0.77891,                0.81254,                 1.1876,                0.64128,                 1.3889,              0.0017228,              0.0017228,              0.0017228
                     31,                0.81142,                 1.2022,                0.79614,                 1.2464,                0.92582,                0.96262,                0.97379,                0.74928,                0.91635,                0.95327,                0.96345,                0.82399,                0.78673,                0.96876,                0.68386,                 1.3478,              0.0017129,              0.0017129,              0.0017129
                     32,                0.83374,                 1.2495,                0.77316,                 1.2538,                0.95958,                0.88759,                0.96645,                0.76832,                0.95929,                0.88093,                0.95593,                0.82461,                0.75931,                0.96803,                0.61498,                 1.3973,               0.001703,               0.001703,               0.001703
                     33,                0.77093,                 1.1337,                0.72849,                 1.1845,                0.95986,                0.94393,                0.98757,                0.81295,                0.95986,                0.94393,                0.98612,                0.82671,                0.69106,                0.93727,                0.52964,                 1.3045,              0.0016931,              0.0016931,              0.0016931
                     34,                0.78955,                 1.1189,                0.71686,                 1.2368,                0.93196,                0.95327,                0.97728,                0.79575,                0.92238,                0.94393,                0.96122,                0.81265,                0.75073,                 1.0318,                0.56662,                 1.3518,              0.0016832,              0.0016832,              0.0016832
                     35,                0.75584,                 1.0461,                0.71831,                 1.2035,                0.94284,                0.96262,                0.98691,                0.81861,                0.93368,                0.95327,                0.96065,                0.83014,                0.69476,                 1.1199,                0.52945,                 1.3469,              0.0016733,              0.0016733,              0.0016733
                     36,                0.76364,                 1.0387,                0.69174,                 1.1969,                0.94418,                0.94854,                0.98782,                0.79666,                0.94331,                0.94393,                0.96185,                0.79706,                0.74735,                 1.0215,                0.57022,                 1.3776,              0.0016634,              0.0016634,              0.0016634
                     37,                0.74616,                 1.0515,                0.67226,                 1.2045,                0.97048,                0.92187,                 0.9886,                0.79759,                0.97909,                0.91589,                0.97634,                0.83724,                0.74006,                0.95716,                0.55381,                 1.3366,              0.0016535,              0.0016535,              0.0016535
                     38,                0.73334,                 1.0026,                0.66151,                 1.1874,                0.94441,                0.95264,                0.97837,                0.78569,                0.93516,                0.94348,                 0.9585,                0.81655,                0.74943,                0.99979,                 0.5729,                 1.3177,              0.0016436,              0.0016436,              0.0016436
                     39,                0.74284,                 1.0856,                0.73191,                 1.1898,                0.89648,                0.97121,                0.98347,                0.81699,                0.87904,                0.95087,                0.95734,                0.81677,                 0.6796,                 1.0411,                 0.5388,                  1.264,              0.0016337,              0.0016337,              0.0016337
                     40,                0.76451,                 1.0291,                 0.6791,                 1.1991,                0.94371,                0.94006,                0.98002,                0.79168,                0.93432,                0.93071,                0.97002,                0.81923,                0.74498,                 1.0541,                0.53058,                 1.3179,              0.0016238,              0.0016238,              0.0016238
                     41,                0.72053,                  0.955,                 0.6578,                  1.165,                0.98283,                0.95327,                0.99244,                0.79857,                 0.9732,                0.94393,                 0.9745,                0.81703,                0.69433,                0.98948,                0.51139,                 1.3321,              0.0016139,              0.0016139,              0.0016139
                     42,                0.77256,                 1.1233,                 0.7026,                 1.2097,                0.95422,                0.97405,                 0.9903,                 0.7481,                 0.9286,                0.94393,                0.94736,                0.82923,                0.75828,                0.91804,                0.60258,                 1.3482,               0.001604,               0.001604,               0.001604
                     43,                0.78334,                 1.0776,                0.70824,                  1.216,                0.95934,                0.91589,                0.97276,                0.79067,                0.95085,                0.90397,                 0.9438,                0.81841,                0.70885,                  1.014,                0.59778,                 1.2835,              0.0015941,              0.0015941,              0.0015941
                     44,                0.68114,                0.90867,                0.59914,                  1.146,                0.91965,                0.98131,                0.98774,                 0.8316,                0.91082,                0.97196,                0.97957,                0.86593,                0.63608,                0.86522,                0.49112,                 1.2474,              0.0015842,              0.0015842,              0.0015842
                     45,                0.71699,                0.97319,                0.64727,                 1.1607,                0.98144,                0.98833,                0.99434,                0.84366,                0.95364,                0.96122,                0.96281,                0.83844,                0.61601,                0.88039,                0.48293,                 1.1932,              0.0015743,              0.0015743,              0.0015743
                     46,                0.71488,                0.94218,                0.63301,                 1.1565,                0.97855,                0.97196,                0.99076,                0.84014,                0.96914,                0.96262,                0.96325,                0.85921,                0.63595,                0.89416,                0.44713,                 1.2112,              0.0015644,              0.0015644,              0.0015644
                     47,                0.71383,                0.92922,                 0.6386,                 1.1664,                0.95922,                0.97196,                   0.99,                0.84014,                   0.95,                0.96262,                0.98844,                0.86253,                0.61506,                0.80153,                0.48866,                 1.2256,              0.0015545,              0.0015545,              0.0015545
                     48,                0.70859,                 1.0387,                0.66379,                 1.1528,                0.96241,                0.95719,                0.98672,                0.81493,                0.94362,                 0.9385,                0.98049,                0.83942,                 0.6588,                0.92585,                 0.5113,                 1.3088,              0.0015446,              0.0015446,              0.0015446
                     49,                 0.7153,                 1.0797,                0.65469,                  1.164,                0.96227,                0.95338,                0.98383,                0.80573,                0.97159,                0.96262,                0.97755,                0.84353,                0.69781,                0.93229,                0.54603,                 1.2813,              0.0015347,              0.0015347,              0.0015347
                     50,                0.69227,                 1.0311,                0.65409,                 1.1469,                0.98002,                0.95327,                 0.9919,                 0.8037,                0.95456,                0.94393,                0.95958,                0.82716,                0.70912,                 0.8996,                  0.536,                 1.2804,              0.0015248,              0.0015248,              0.0015248
                     51,                0.65529,                0.92815,                0.61081,                   1.12,                0.97698,                0.96262,                0.98913,                0.81976,                0.97698,                0.96262,                0.96639,                0.84553,                0.65458,                0.92257,                0.51414,                 1.2679,              0.0015149,              0.0015149,              0.0015149
                     52,                0.74958,                0.98249,                0.63571,                  1.195,                0.98183,                0.94393,                0.99064,                0.81864,                0.97109,                0.90654,                0.94541,                 0.8496,                0.63703,                 1.0158,                0.50867,                  1.231,               0.001505,               0.001505,               0.001505
                     53,                0.66792,                0.98762,                0.61271,                 1.1269,                0.99039,                0.96323,                0.99358,                0.84126,                0.98781,                0.94393,                0.96723,                0.84733,                0.61852,                0.92606,                0.45512,                 1.2534,              0.0014951,              0.0014951,              0.0014951
                     54,                0.62335,                0.81568,                0.55917,                 1.0761,                0.97814,                0.95327,                0.98212,                0.81875,                0.96841,                0.94393,                0.95825,                0.83996,                 0.6526,                0.97105,                0.51549,                  1.283,              0.0014852,              0.0014852,              0.0014852
                     55,                0.66277,                0.87746,                0.59914,                  1.107,                0.89408,                0.94673,                0.97132,                0.79648,                0.89411,                0.91589,                0.94859,                0.80986,                0.68127,                0.83345,                0.55187,                 1.2868,              0.0014753,              0.0014753,              0.0014753
                     56,                0.62289,                0.87592,                0.56588,                   1.11,                0.97866,                0.95327,                0.98598,                0.84097,                0.96775,                0.94393,                0.96704,                0.83441,                0.61567,                0.89737,                0.49283,                 1.2183,              0.0014654,              0.0014654,              0.0014654
                     57,                0.63382,                0.92469,                0.58745,                 1.1055,                0.96317,                0.93458,                0.98463,                0.82726,                0.96317,                0.93458,                0.97278,                0.82977,                0.66747,                0.93171,                0.52822,                 1.2588,              0.0014555,              0.0014555,              0.0014555
                     58,                 0.6187,                0.91301,                0.54932,                 1.0955,                0.93669,                0.98131,                0.98284,                0.82431,                0.94608,                0.94393,                0.96535,                0.83796,                 0.6476,                0.97062,                0.50146,                 1.2663,              0.0014456,              0.0014456,              0.0014456
                     59,                0.60382,                0.82133,                0.52883,                 1.0928,                0.97163,                0.96012,                0.98893,                0.85792,                0.95276,                0.94249,                0.96149,                0.84937,                 0.5821,                0.89392,                0.45609,                 1.1965,              0.0014357,              0.0014357,              0.0014357
                     60,                0.61437,                0.87001,                0.53759,                 1.1242,                0.98088,                0.95889,                0.99301,                0.84486,                0.97125,                0.94725,                0.96569,                0.85312,                0.61385,                0.95447,                0.44776,                 1.2079,              0.0014258,              0.0014258,              0.0014258
                     61,                0.67413,                0.98598,                0.62113,                 1.1535,                0.97174,                0.96422,                0.99223,                 0.8318,                0.98054,                0.94198,                0.96744,                0.85888,                0.61142,                0.86522,                0.48104,                 1.2117,              0.0014159,              0.0014159,              0.0014159
                     62,                0.59968,                0.90992,                0.55937,                 1.1003,                0.96504,                0.97196,                 0.9931,                0.83809,                0.97097,                0.93778,                0.96409,                0.83908,                0.62093,                  1.042,                0.48446,                 1.2178,               0.001406,               0.001406,               0.001406
                     63,                0.60318,                0.88181,                0.53783,                 1.0892,                0.97179,                0.96593,                0.99301,                0.84481,                 0.9624,                 0.9569,                 0.9824,                0.85147,                0.63469,                0.99494,                 0.4468,                 1.2563,              0.0013961,              0.0013961,              0.0013961
                     64,                0.61784,                0.89584,                0.55161,                  1.113,                0.97822,                0.97196,                0.99228,                0.87519,                0.99638,                0.95327,                0.98373,                0.86131,                0.56819,                0.97309,                0.40763,                  1.174,              0.0013862,              0.0013862,              0.0013862
                     65,                0.59836,                 0.8933,                   0.53,                 1.0842,                0.98999,                0.92426,                0.98887,                0.85299,                0.98031,                0.93066,                0.97375,                0.86141,                0.60705,                0.92712,                 0.4025,                 1.2676,              0.0013763,              0.0013763,              0.0013763
